zip,Zipcode name,City,State,County Name
12404,"ACCORD, NY",ACCORD,NY,ULSTER
12405,"ACRA, NY",ACRA,NY,GREENE
13605,"ADAMS, NY",ADAMS,NY,JEFFERSON
14410,"ADAMS BASIN, NY",ADAMS BASIN,NY,MONROE
13606,"ADAMS CENTER, NY",ADAMS CENTER,NY,JEFFERSON
14801,"ADDISON, NY",ADDISON,NY,STEUBEN
12808,"ADIRONDACK, NY",ADIRONDACK,NY,WARREN
13730,"AFTON, NY",AFTON,NY,CHENANGO
14001,"AKRON, NY",AKRON,NY,ERIE
12201,"ALBANY, NY",ALBANY,NY,ALBANY
12202,"ALBANY, NY",ALBANY,NY,ALBANY
12203,"ALBANY, NY",ALBANY,NY,ALBANY
12204,"ALBANY, NY",ALBANY,NY,ALBANY
12205,"ALBANY, NY",ALBANY,NY,ALBANY
12206,"ALBANY, NY",ALBANY,NY,ALBANY
12207,"ALBANY, NY",ALBANY,NY,ALBANY
12208,"ALBANY, NY",ALBANY,NY,ALBANY
12209,"ALBANY, NY",ALBANY,NY,ALBANY
12210,"ALBANY, NY",ALBANY,NY,ALBANY
12211,"ALBANY, NY",ALBANY,NY,ALBANY
12212,"ALBANY, NY",ALBANY,NY,ALBANY
12220,"ALBANY, NY",ALBANY,NY,ALBANY
12222,"ALBANY, NY",ALBANY,NY,ALBANY
12223,"ALBANY, NY",ALBANY,NY,ALBANY
12224,"ALBANY, NY",ALBANY,NY,ALBANY
12226,"ALBANY, NY",ALBANY,NY,ALBANY
12227,"ALBANY, NY",ALBANY,NY,ALBANY
12228,"ALBANY, NY",ALBANY,NY,ALBANY
12230,"ALBANY, NY",ALBANY,NY,ALBANY
12231,"ALBANY, NY",ALBANY,NY,ALBANY
12233,"ALBANY, NY",ALBANY,NY,ALBANY
12234,"ALBANY, NY",ALBANY,NY,ALBANY
12237,"ALBANY, NY",ALBANY,NY,ALBANY
12240,"ALBANY, NY",ALBANY,NY,ALBANY
12242,"ALBANY, NY",ALBANY,NY,ALBANY
12243,"ALBANY, NY",ALBANY,NY,ALBANY
12246,"ALBANY, NY",ALBANY,NY,ALBANY
12247,"ALBANY, NY",ALBANY,NY,ALBANY
12250,"ALBANY, NY",ALBANY,NY,ALBANY
12256,"ALBANY, NY",ALBANY,NY,ALBANY
12260,"ALBANY, NY",ALBANY,NY,ALBANY
11507,"ALBERTSON, NY",ALBERTSON,NY,NASSAU
14411,"ALBION, NY",ALBION,NY,ORLEANS
12007,"ALCOVE, NY",ALCOVE,NY,ALBANY
14004,"ALDEN, NY",ALDEN,NY,ERIE
13301,"ALDER CREEK, NY",ALDER CREEK,NY,ONEIDA
14005,"ALEXANDER, NY",ALEXANDER,NY,GENESEE
13607,"ALEXANDRIA BAY, NY",ALEXANDRIA BAY,NY,JEFFERSON
14802,"ALFRED, NY",ALFRED,NY,ALLEGANY
14803,"ALFRED STATION, NY",ALFRED STATION,NY,ALLEGANY
14706,"ALLEGANY, NY",ALLEGANY,NY,CATTARAUGUS
14804,"ALMOND, NY",ALMOND,NY,ALLEGANY
14805,"ALPINE, NY",ALPINE,NY,SCHUYLER
12008,"ALPLAUS, NY",ALPLAUS,NY,SCHENECTADY
12009,"ALTAMONT, NY",ALTAMONT,NY,ALBANY
13302,"ALTMAR, NY",ALTMAR,NY,OSWEGO
14413,"ALTON, NY",ALTON,NY,WAYNE
12910,"ALTONA, NY",ALTONA,NY,CLINTON
11930,"AMAGANSETT, NY",AMAGANSETT,NY,SUFFOLK
10501,"AMAWALK, NY",AMAWALK,NY,WESTCHESTER
12501,"AMENIA, NY",AMENIA,NY,DUTCHESS
11701,"AMITYVILLE, NY",AMITYVILLE,NY,SUFFOLK
12010,"AMSTERDAM, NY",AMSTERDAM,NY,MONTGOMERY
12502,"ANCRAM, NY",ANCRAM,NY,COLUMBIA
12503,"ANCRAMDALE, NY",ANCRAMDALE,NY,COLUMBIA
13731,"ANDES, NY",ANDES,NY,DELAWARE
14806,"ANDOVER, NY",ANDOVER,NY,ALLEGANY
14709,"ANGELICA, NY",ANGELICA,NY,ALLEGANY
14006,"ANGOLA, NY",ANGOLA,NY,ERIE
12504,"ANNANDALE ON HUDSON, NY",ANNANDALE ON HUDSON,NY,DUTCHESS
13608,"ANTWERP, NY",ANTWERP,NY,JEFFERSON
13732,"APALACHIN, NY",APALACHIN,NY,TIOGA
14008,"APPLETON, NY",APPLETON,NY,NIAGARA
13020,"APULIA STATION, NY",APULIA STATION,NY,ONONDAGA
11931,"AQUEBOGUE, NY",AQUEBOGUE,NY,SUFFOLK
14009,"ARCADE, NY",ARCADE,NY,WYOMING
10910,"ARDEN, NY",ARDEN,NY,ORANGE
10502,"ARDSLEY, NY",ARDSLEY,NY,WESTCHESTER
10503,"ARDSLEY ON HUDSON, NY",ARDSLEY ON HUDSON,NY,WESTCHESTER
12809,"ARGYLE, NY",ARGYLE,NY,WASHINGTON
14807,"ARKPORT, NY",ARKPORT,NY,STEUBEN
12406,"ARKVILLE, NY",ARKVILLE,NY,DELAWARE
10504,"ARMONK, NY",ARMONK,NY,WESTCHESTER
11692,"ARVERNE, NY",ARVERNE,NY,QUEENS
12407,"ASHLAND, NY",ASHLAND,NY,GREENE
14710,"ASHVILLE, NY",ASHVILLE,NY,CHAUTAUQUA
11102,"ASTORIA, NY",ASTORIA,NY,QUEENS
11103,"ASTORIA, NY",ASTORIA,NY,QUEENS
11105,"ASTORIA, NY",ASTORIA,NY,QUEENS
11106,"ASTORIA, NY",ASTORIA,NY,QUEENS
12015,"ATHENS, NY",ATHENS,NY,GREENE
12810,"ATHOL, NY",ATHOL,NY,WARREN
14010,"ATHOL SPRINGS, NY",ATHOL SPRINGS,NY,ERIE
14808,"ATLANTA, NY",ATLANTA,NY,STEUBEN
11509,"ATLANTIC BEACH, NY",ATLANTIC BEACH,NY,NASSAU
14011,"ATTICA, NY",ATTICA,NY,WYOMING
12912,"AU SABLE FORKS, NY",AU SABLE FORKS,NY,CLINTON
13021,"AUBURN, NY",AUBURN,NY,CAYUGA
13022,"AUBURN, NY",AUBURN,NY,CAYUGA
13024,"AUBURN, NY",AUBURN,NY,CAYUGA
13026,"AURORA, NY",AURORA,NY,CAYUGA
12017,"AUSTERLITZ, NY",AUSTERLITZ,NY,COLUMBIA
13303,"AVA, NY",AVA,NY,ONEIDA
12018,"AVERILL PARK, NY",AVERILL PARK,NY,RENSSELAER
14809,"AVOCA, NY",AVOCA,NY,STEUBEN
14414,"AVON, NY",AVON,NY,LIVINGSTON
11702,"BABYLON, NY",BABYLON,NY,SUFFOLK
13733,"BAINBRIDGE, NY",BAINBRIDGE,NY,CHENANGO
12811,"BAKERS MILLS, NY",BAKERS MILLS,NY,WARREN
11510,"BALDWIN, NY",BALDWIN,NY,NASSAU
10505,"BALDWIN PLACE, NY",BALDWIN PLACE,NY,WESTCHESTER
